method,config_id,alpha,lambda_stress,lambda_crowded,max_tilt,tau_weight,eta
traditional_smooth_score,trad_a0.67_ls0.10_lc0.05_tilt0.20_tau1.0_eta0.15,0.67,0.1,0.05,0.2,1.0,0.15
traditional_smooth_score,trad_a0.67_ls0.10_lc0.05_tilt0.20_tau1.5_eta0.05,0.67,0.1,0.05,0.2,1.5,0.05
traditional_smooth_score,trad_a0.67_ls0.10_lc0.05_tilt0.20_tau1.5_eta0.15,0.67,0.1,0.05,0.2,1.5,0.15
traditional_smooth_score,trad_a0.67_ls0.10_lc0.15_tilt0.10_tau1.0_eta0.05,0.67,0.1,0.15,0.1,1.0,0.05
traditional_smooth_score,trad_a0.67_ls0.10_lc0.15_tilt0.10_tau1.0_eta0.15,0.67,0.1,0.15,0.1,1.0,0.15
traditional_smooth_score,trad_a0.67_ls0.10_lc0.15_tilt0.10_tau1.5_eta0.05,0.67,0.1,0.15,0.1,1.5,0.05
traditional_smooth_score,trad_a0.67_ls0.10_lc0.15_tilt0.10_tau1.5_eta0.15,0.67,0.1,0.15,0.1,1.5,0.15
traditional_smooth_score,trad_a0.67_ls0.10_lc0.15_tilt0.20_tau1.0_eta0.05,0.67,0.1,0.15,0.2,1.0,0.05
traditional_smooth_score,trad_a0.67_ls0.10_lc0.15_tilt0.20_tau1.0_eta0.15,0.67,0.1,0.15,0.2,1.0,0.15
traditional_smooth_score,trad_a0.67_ls0.10_lc0.15_tilt0.20_tau1.5_eta0.05,0.67,0.1,0.15,0.2,1.5,0.05
traditional_smooth_score,trad_a0.67_ls0.10_lc0.15_tilt0.20_tau1.5_eta0.15,0.67,0.1,0.15,0.2,1.5,0.15
traditional_smooth_score,trad_a0.67_ls0.25_lc0.05_tilt0.10_tau1.0_eta0.05,0.67,0.25,0.05,0.1,1.0,0.05
traditional_smooth_score,trad_a0.67_ls0.25_lc0.05_tilt0.10_tau1.0_eta0.15,0.67,0.25,0.05,0.1,1.0,0.15
traditional_smooth_score,trad_a0.67_ls0.25_lc0.05_tilt0.10_tau1.5_eta0.05,0.67,0.25,0.05,0.1,1.5,0.05
traditional_smooth_score,trad_a0.67_ls0.25_lc0.05_tilt0.10_tau1.5_eta0.15,0.67,0.25,0.05,0.1,1.5,0.15
traditional_smooth_score,trad_a0.67_ls0.25_lc0.05_tilt0.20_tau1.0_eta0.05,0.67,0.25,0.05,0.2,1.0,0.05
traditional_smooth_score,trad_a0.67_ls0.25_lc0.05_tilt0.20_tau1.0_eta0.15,0.67,0.25,0.05,0.2,1.0,0.15
traditional_smooth_score,trad_a0.67_ls0.25_lc0.05_tilt0.20_tau1.5_eta0.05,0.67,0.25,0.05,0.2,1.5,0.05
traditional_smooth_score,trad_a0.67_ls0.25_lc0.05_tilt0.20_tau1.5_eta0.15,0.67,0.25,0.05,0.2,1.5,0.15
traditional_smooth_score,trad_a0.67_ls0.25_lc0.15_tilt0.10_tau1.0_eta0.05,0.67,0.25,0.15,0.1,1.0,0.05
traditional_smooth_score,trad_a0.67_ls0.25_lc0.15_tilt0.10_tau1.0_eta0.15,0.67,0.25,0.15,0.1,1.0,0.15
traditional_smooth_score,trad_a0.67_ls0.25_lc0.15_tilt0.10_tau1.5_eta0.05,0.67,0.25,0.15,0.1,1.5,0.05
traditional_smooth_score,trad_a0.67_ls0.25_lc0.15_tilt0.10_tau1.5_eta0.15,0.67,0.25,0.15,0.1,1.5,0.15
traditional_smooth_score,trad_a0.67_ls0.25_lc0.15_tilt0.20_tau1.0_eta0.05,0.67,0.25,0.15,0.2,1.0,0.05
traditional_smooth_score,trad_a0.67_ls0.25_lc0.15_tilt0.20_tau1.0_eta0.15,0.67,0.25,0.15,0.2,1.0,0.15
traditional_smooth_score,trad_a0.67_ls0.25_lc0.15_tilt0.20_tau1.5_eta0.05,0.67,0.25,0.15,0.2,1.5,0.05
traditional_smooth_score,trad_a0.67_ls0.25_lc0.15_tilt0.20_tau1.5_eta0.15,0.67,0.25,0.15,0.2,1.5,0.15
smooth_tnx_only,tnx_tilt0.10_tau1.0_eta0.05,,,,0.1,1.0,0.05
smooth_tnx_only,tnx_tilt0.10_tau1.0_eta0.15,,,,0.1,1.0,0.15
smooth_tnx_only,tnx_tilt0.10_tau1.5_eta0.05,,,,0.1,1.5,0.05
smooth_tnx_only,tnx_tilt0.10_tau1.5_eta0.15,,,,0.1,1.5,0.15
