mode,test_start,test_end,train_start,train_end,selected_config_id,train_selection_score,train_sharpe,train_cagr,train_max_drawdown,requested_start_date,actual_start_date,start_group
expanding,2018-06-28,2018-09-26,2017-06-28,2018-06-27,joint_a0.50_ls0.50_lcrowd0.05_lcred0.10_li0.50_tilt0.30_tau1.00_eta0.03,0.876375,1.3129956338479039,0.17965159521379914,-0.10002414931199333,2017-06-28,2018-06-28,annual
expanding,2018-09-27,2018-12-27,2017-06-28,2018-09-26,joint_a0.50_ls0.50_lcrowd0.05_lcred0.10_li0.50_tilt0.30_tau1.00_eta0.03,0.8855000000000001,1.643301085023669,0.2162315340606833,-0.10002414931199333,2017-06-28,2018-06-28,annual
expanding,2018-12-28,2019-03-29,2017-06-28,2018-12-27,joint_a0.50_ls0.25_lcrowd0.05_lcred0.50_li0.50_tilt0.30_tau1.00_eta0.03,0.9223750000000001,0.524130988620561,0.06962801115961348,-0.19152314092457523,2017-06-28,2018-06-28,annual
expanding,2019-04-01,2019-06-28,2017-06-28,2019-03-29,joint_a0.50_ls0.25_lcrowd0.05_lcred0.50_li0.50_tilt0.30_tau1.00_eta0.03,0.8978750000000002,1.0514249447807797,0.15846150900785405,-0.19152314092457523,2017-06-28,2018-06-28,annual
expanding,2019-07-01,2019-09-27,2017-06-28,2019-06-28,joint_a0.50_ls0.25_lcrowd0.05_lcred0.50_li0.50_tilt0.30_tau1.00_eta0.03,0.8932500000000001,1.0691769197757466,0.1591297409480994,-0.19152314092457523,2017-06-28,2018-06-28,annual
expanding,2019-09-30,2019-12-27,2017-06-28,2019-09-27,joint_a0.50_ls0.25_lcrowd0.05_lcred0.50_li0.50_tilt0.30_tau1.00_eta0.03,0.90725,0.9889168299952635,0.14701889036448668,-0.19152314092457523,2017-06-28,2018-06-28,annual
expanding,2019-12-30,2020-03-30,2017-06-28,2019-12-27,joint_a0.50_ls0.25_lcrowd0.05_lcred0.50_li0.50_tilt0.30_tau1.00_eta0.03,0.922875,1.1979610600142938,0.17821657768072896,-0.19152314092457523,2017-06-28,2018-06-28,annual
expanding,2020-03-31,2020-06-29,2017-06-28,2020-03-30,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.79775,0.4807673304914543,0.08533114141769138,-0.32012720395683003,2017-06-28,2018-06-28,annual
expanding,2020-06-30,2020-09-28,2017-06-28,2020-06-29,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.8063749999999998,0.731160203195216,0.15322404786373833,-0.32012720395683003,2017-06-28,2018-06-28,annual
expanding,2020-09-29,2020-12-28,2017-06-28,2020-09-28,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.8016249999999999,0.8346795081535784,0.17867733035813638,-0.32012720395683003,2017-06-28,2018-06-28,annual
expanding,2020-12-29,2021-03-30,2017-06-28,2020-12-28,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.8006249999999999,0.9727243708772635,0.21308887198871407,-0.32012720395683003,2017-06-28,2018-06-28,annual
expanding,2021-03-31,2021-06-29,2017-06-28,2021-03-30,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.7995,1.0627482716468233,0.23336294928895018,-0.32012720395683003,2017-06-28,2018-06-28,annual
expanding,2021-06-30,2021-09-28,2017-06-28,2021-06-29,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.8022499999999999,1.0933644225503667,0.23598294804293363,-0.32012720395683003,2017-06-28,2018-06-28,annual
expanding,2021-09-29,2021-12-28,2017-06-28,2021-09-28,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.8019999999999999,1.0727034228349126,0.22553155667643998,-0.32012720395683003,2017-06-28,2018-06-28,annual
expanding,2021-12-29,2022-03-29,2017-06-28,2021-12-28,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.8045,1.129799508941091,0.23629334152734982,-0.32012720395683003,2017-06-28,2018-06-28,annual
expanding,2022-03-30,2022-06-29,2017-06-28,2022-03-29,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.801375,1.0926319243042573,0.2253846380857385,-0.3194788030053112,2017-06-28,2018-06-28,annual
expanding,2022-06-30,2022-09-28,2017-06-28,2022-06-29,joint_a0.67_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau0.75_eta0.05,0.8005000000000001,0.8904896044424462,0.1776094266707804,-0.31735894920467067,2017-06-28,2018-06-28,annual
expanding,2022-09-29,2022-12-28,2017-06-28,2022-09-28,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.05,0.8009999999999999,0.8229855928000056,0.16234796826864195,-0.31837581807443227,2017-06-28,2018-06-28,annual
